id,name,height,date_of_birth,known_for_movies
nm0074311,Pablo Berger,150,16-05-1905,tt5187886
nm0000532,Malcolm McDowell,174,13-06-1943,
nm0075303,Ed Berke,150,,tt4283414
nm0000538,Colm Meaney,180,30-05-1953,
nm0075321,Christian Berkel,200,28-10-1957,tt3716530
nm0000539,Dina Meyer,170,22-12-1968,
nm0075528,Greg Berlanti,150,24-05-1972,tt5164432
nm0000540,Russ Meyer,185,21-03-1922,
nm0075650,Charles Berling,150,30-04-1958,tt3716530
nm0000542,Penelope Ann Miller,170,13-01-1964,
nm0075696,Andrea Berloff,150,,tt2072233
nm0000545,Helen Mirren,163,26-07-1945,
nm0076162,Tom Nolan,150,15-01-1948,tt5013056
nm0076791,Kevin Bernhardt,150,02-04-1961,tt5648036
nm0000547,Alfred Molina,189,24-05-1953,
nm0077397,Elizabeth Berrington,200,03-08-1970,tt8079248
nm0000551,Dermot Mulroney,177,31-10-1963,
nm0077622,Marilou Berry,200,01-02-1983,tt5964278
nm0000552,Eddie Murphy,175,03-04-1961,
nm0077879,Tommy Bertelsen,150,,"tt5226512,tt2233979"
nm0000553,Liam Neeson,193,07-06-1952,
nm0078452,Valeria Bertuccelli,150,30-11-1969,tt7689928
nm0000554,Sam Neill,182,14-09-1947,
nm0078664,Bobby Beshro,200,23-05-1905,tt6320684
nm0000555,Judd Nelson,178,28-11-1959,
nm0079023,Mara Bestelli,150,,tt8956390
nm0000560,Nick Nolte,183,08-02-1941,
nm0079418,Daniel Betts,200,23-05-1905,tt4758646
nm0000565,Lena Olin,178,22-03-1955,
nm0079439,Jack Betts,200,11-04-1929,tt8318702
nm0000566,Julia Ormond,171,04-01-1965,
nm0079448,Maggie Betts,150,,tt4513316
nm0000568,Frank Oz,188,25-05-1944,
nm0080100,David Bezmozgis,150,,tt3866526
nm0000571,Mary-Louise Parker,171,02-08-1964,
nm0080238,Tanikella Bharani,200,,tt4849438
nm0000572,Sarah Jessica Parker,160,25-03-1965,
nm0081023,James Bickert,150,06-08-1967,tt8178992
nm0000573,Dolly Parton,152,19-01-1946,
nm0081540,Susanne Bier,150,15-04-1960,tt2737304
nm0000574,Jason Patric,178,17-06-1966,
nm0081675,Magali Biff,150,,tt7230476
nm0000575,Alexandra Paul,178,29-07-1963,
nm0082052,Jan Bijvoet,150,28-12-1966,tt5164184
nm0000576,Sean Penn,173,17-08-1960,
nm0082211,Haluk Bilginer,200,05-06-1954,tt1502407
nm0000579,Ron Perlman,185,13-04-1950,
nm0082776,Felix Binder,150,30-05-1905,tt8639740
nm0000583,Wolfgang Petersen,178,14-03-1941,
nm0083348,Brad Bird,200,24-09-1957,tt3606756
nm0000588,Martha Plimpton,165,16-11-1970,
nm0083452,Terry Bird,150,,tt6443294
nm0083655,Gil Birmingham,200,13-07-1953,tt5362988
nm0000597,Bill Pullman,187,17-12-1953,
